"CAS番号","物質名","安衛法","皮膚等障害","がん原性","特化則","特別管理物質","有機則","鉛則","粉じん則","化管法","毒劇法","消防法品名","化審法","大防法","水濁法有害物質","土対法","女性則","備考","出所"
"7647-01-0","塩化水素","対象物","","","第3類","","","","","第一種","劇物","","","特定物質","","","","塩酸","内蔵"
"7697-37-2","硝酸","対象物","","","第3類","","","","","","劇物","第6類 酸化性液体","","特定物質","","","","","内蔵"
"7446-09-5","二酸化硫黄","対象物","","","第3類","","","","","","","","","特定物質","","","","ばい煙の硫黄酸化物も要確認","内蔵"
"108-95-2","フェノール","対象物","該当","","第3類","","","","","第一種","劇物","第4類 第3石油類 非水溶性","","","","","","","内蔵"
"75-44-5","ホスゲン","対象物","","","第3類","","","","","第一種","毒物","","","特定物質","","","","","内蔵"
"7664-93-9","硫酸","対象物","","","第3類","","","","","","劇物","","","","","","","水濁法は水素イオン濃度で規制","内蔵"
"7439-92-1","鉛及びその化合物","対象物","","該当","","","","該当","","第一種","劇物","","","","該当","該当","該当","鉛業務に該当するかの確認が必要","内蔵"
"1317-36-8","一酸化鉛","対象物","","該当","","","","該当","","第一種","劇物","","","","該当","該当","該当","リサージ","内蔵"
"1314-41-6","鉛丹","対象物","","該当","","","","該当","","第一種","劇物","","","","該当","該当","該当","四酸化三鉛。さび止め塗料","内蔵"
"7446-14-2","硫酸鉛","対象物","","該当","","","","該当","","第一種","劇物","","","","該当","該当","該当","","内蔵"
"7758-97-6","クロム酸鉛","対象物","","該当","","該当","","該当","","特定第一種","劇物","","","","該当","該当","該当","鉛クロメート顔料。六価クロム化合物でもある","内蔵"
"78-00-2","四エチル鉛","対象物","","該当","","","","該当","","","毒物","","","","該当","","該当","四アルキル鉛中毒予防規則の対象","内蔵"
"14808-60-7","結晶質シリカ(石英)","対象物","","該当","","","","","該当","","","","","","","","","じん肺法の対象。研削・鋳造・耐火物","内蔵"
"14464-46-1","クリストバライト","対象物","","該当","","","","","該当","","","","","","","","","じん肺法の対象","内蔵"
"14807-96-6","滑石(タルク)","対象物","","","","","","","該当","","","","","","","","","じん肺法の対象","内蔵"
"13463-67-7","酸化チタン(IV)","対象物","","","","","","","該当","","","","","","","","","粉状のものは粉じん則の対象","内蔵"
"1333-86-4","カーボンブラック","対象物","","該当","","","","","該当","","","","","","","","","","内蔵"
"409-21-2","炭化ケイ素","対象物","","","","","","","該当","","","","","","","","","","内蔵"
"1332-21-4","石綿","対象物","","該当","","","","","","","","","第一種特定","特定粉じん","","","該当","製造等禁止。石綿則および大気汚染防止法の事前調査対象","内蔵"
"12001-29-5","クリソタイル","対象物","","該当","","","","","","","","","第一種特定","特定粉じん","","","該当","白石綿。製造等禁止","内蔵"
"12172-73-5","アモサイト","対象物","","該当","","","","","","","","","第一種特定","特定粉じん","","","該当","茶石綿。製造等禁止","内蔵"
"12001-28-4","クロシドライト","対象物","","該当","","","","","","","","","第一種特定","特定粉じん","","","該当","青石綿。製造等禁止","内蔵"
"1310-73-2","水酸化ナトリウム","対象物","","","","","","","","","劇物","","","","","","","水濁法は水素イオン濃度で規制","内蔵"
"1310-58-3","水酸化カリウム","対象物","","","","","","","","","劇物","","","","","","","","内蔵"
"7722-84-1","過酸化水素","対象物","","","","","","","","","劇物","第6類 酸化性液体","","","","","","6%以下は劇物から除外。消防法は36%以上","内蔵"
"7722-64-7","過マンガン酸カリウム","対象物","","","","","","","","","劇物","第1類 酸化性固体 第2種","","","","","","覚醒剤原料の規制対象","内蔵"
"64-19-7","酢酸","対象物","","","","","","","","","劇物","第4類 第2石油類 水溶性","","","","","","90%以下は劇物から除外","内蔵"
"108-24-7","無水酢酸","対象物","","","","","","","","","劇物","第4類 第2石油類 水溶性","","","","","","麻薬及び向精神薬取締法の原料。届出・記録が必要な場合がある","内蔵"
"7664-38-2","りん酸","対象物","","","","","","","","","劇物","","","","","","","","内蔵"
"7681-52-9","次亜塩素酸ナトリウム","対象物","","","","","","","","","劇物","","","","","","","酸と混触で塩素ガスが発生","内蔵"
"7632-00-0","亜硝酸ナトリウム","対象物","","","","","","","","","劇物","第1類 酸化性固体 第2種","","","","","","","内蔵"
"7631-99-4","硝酸ナトリウム","対象物","","","","","","","","","","第1類 酸化性固体 第3種","","","","","","","内蔵"
"7757-79-1","硝酸カリウム","対象物","","","","","","","","","","第1類 酸化性固体 第3種","","","","","","","内蔵"
"6484-52-2","硝酸アンモニウム","対象物","","","","","","","","","","第1類 酸化性固体 第3種","","","","","","","内蔵"
"7775-09-9","塩素酸ナトリウム","対象物","","","","","","","","","劇物","第1類 酸化性固体 第1種","","","","","","","内蔵"
"7601-90-3","過塩素酸","対象物","","","","","","","","","劇物","第6類 酸化性液体","","","","","","","内蔵"
"94-36-0","過酸化ベンゾイル","対象物","該当","","","","","","","","","第5類 自己反応性物質 第2種","","","","","","","内蔵"
"144-62-7","しゅう酸","対象物","","","","","","","","","劇物","","","","","","","","内蔵"
"7758-98-7","硫酸銅(II)","対象物","","","","","","","","第一種","劇物","","","","要確認","","","銅水溶性塩","内蔵"
"7705-08-0","塩化鉄(III)","対象物","","","","","","","","","劇物","","","","","","","塩化第二鉄。エッチング液","内蔵"
"1341-49-7","ふっ化水素アンモニウム","対象物","","","","","","","","第一種","劇物","","","","該当","","","ふっ素として排水規制","内蔵"
"10043-35-3","ほう酸","対象物","","","","","","","","第一種","","","","","要確認","","","ほう素及びその化合物として排水規制","内蔵"
"1317-33-5","二硫化モリブデン","対象物","","","","","","","","第一種","","","","","","","","固体潤滑剤","内蔵"
"-","亜鉛の水溶性化合物","対象物","","","","","","","","第一種","","","","","要確認","","","排水基準の亜鉛含有量に関わる","内蔵"
"80-62-6","メタクリル酸メチル","対象物","該当","","","","","","","第一種","劇物","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"79-10-7","アクリル酸","対象物","該当","","","","","","","第一種","劇物","第4類 第2石油類 水溶性","","","","","","","内蔵"
"140-88-5","アクリル酸エチル","対象物","該当","","","","","","","第一種","劇物","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"108-05-4","酢酸ビニル","対象物","","","","","","","","第一種","","第4類 第1石油類 非水溶性","","VOC","","","","","内蔵"
"106-89-8","エピクロロヒドリン","対象物","該当","該当","","","","","","第一種","劇物","第4類 第2石油類 非水溶性","","有害大気","","","","エポキシ樹脂原料。特定第一種該当性を要確認","内蔵"
"80-05-7","ビスフェノールA","対象物","","","","","","","","第一種","","","","","","","","エポキシ樹脂原料","内蔵"
"101-68-8","ジフェニルメタン-4,4'-ジイソシアネート","対象物","該当","","","","","","","第一種","","","","","","","","MDI。ウレタン原料","内蔵"
"822-06-0","ヘキサメチレン-1,6-ジイソシアネート","対象物","該当","","","","","","","第一種","劇物","","","","","","","HDI。ウレタン塗料硬化剤","内蔵"
"107-21-1","エチレングリコール","対象物","","","","","","","","第一種","","第4類 第3石油類 水溶性","","","","","","","内蔵"
"111-46-6","ジエチレングリコール","対象物","","","","","","","","","","第4類 第3石油類 水溶性","","","","","","","内蔵"
"57-55-6","プロピレングリコール","非該当","","","","","","","","","","第4類 第3石油類 水溶性","","","","","","","内蔵"
"56-81-5","グリセリン","非該当","","","","","","","","","","第4類 第3石油類 水溶性","","","","","","","内蔵"
"872-50-4","N-メチル-2-ピロリドン","対象物","該当","","","","","","","第一種","","第4類 第3石油類 水溶性","","VOC","","","該当","女性則の就業制限対象","内蔵"
"67-68-5","ジメチルスルホキシド","対象物","該当","","","","","","","","","第4類 第3石油類 水溶性","","","","","","DMSO。皮膚吸収に注意","内蔵"
"107-98-2","プロピレングリコールモノメチルエーテル","対象物","","","","","","","","","","第4類 第2石油類 水溶性","","VOC","","","","PGME","内蔵"
"108-65-6","プロピレングリコールモノメチルエーテルアセテート","対象物","","","","","","","","","","第4類 第2石油類 非水溶性","","VOC","","","","PGMEA","内蔵"
"97-64-3","乳酸エチル","対象物","","","","","","","","","","第4類 第2石油類 水溶性","","VOC","","","","","内蔵"
"123-42-2","ジアセトンアルコール","対象物","","","","","","","","","","第4類 第2石油類 水溶性","","VOC","","","","","内蔵"
"121-44-8","トリエチルアミン","対象物","該当","","","","","","","第一種","劇物","第4類 第1石油類 水溶性","","","","","","","内蔵"
"111-42-2","ジエタノールアミン","対象物","該当","","","","","","","第一種","","","","","","","","","内蔵"
"110-91-8","モルホリン","対象物","該当","","","","","","","第一種","劇物","第4類 第2石油類 水溶性","","","","","","","内蔵"
"107-15-3","エチレンジアミン","対象物","該当","","","","","","","第一種","劇物","第4類 第2石油類 水溶性","","","","","","","内蔵"
"-","直鎖アルキルベンゼンスルホン酸及びその塩","対象物","","","","","","","","第一種","","","","","","","","洗浄剤の界面活性剤","内蔵"
"-","ポリ(オキシエチレン)アルキルエーテル","対象物","","","","","","","","第一種","","","","","","","","洗浄剤の界面活性剤","内蔵"
"64-17-5","エタノール","対象物","","","","","","","","","","第4類 アルコール類","","VOC","","","","有機則の対象外","内蔵"
"71-23-8","1-プロパノール","対象物","該当","","","","","","","","","第4類 アルコール類","","VOC","","","","","内蔵"
"-","灯油","対象物","","","","","","","","","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"-","軽油","対象物","","","","","","","","","","第4類 第2石油類 非水溶性","","VOC","","","","","内蔵"
"-","重油","対象物","","","","","","","","","","第4類 第3石油類 非水溶性","","","","","","燃料として燃焼させる場合は大気汚染防止法のばい煙を要確認","内蔵"
"-","潤滑油・鉱油","非該当","","","","","","","","","","第4類 第4石油類","","","","","","廃棄時は廃油として産業廃棄物","内蔵"
"-","切削油(水溶性)","要確認","要確認","","","","","","","要確認","","","","","","","","配合成分のSDSで個別に判定が必要","内蔵"
"-","切削油(不水溶性)","要確認","","","","","","","","","","第4類 第4石油類","","","","","","配合成分のSDSで個別に判定が必要。引火点により品名が変わる","内蔵"
"-","動植物油","対象物","","","","","","","","","","第4類 動植物油類","","","","","","","内蔵"
"7429-90-5","アルミニウム粉","対象物","","","","","","","該当","","","第2類 金属粉・マグネシウム 第2種","","","","","","","内蔵"
"7439-95-4","マグネシウム","対象物","","","","","","","","","","第2類 金属粉・マグネシウム 第2種","","","","","","","内蔵"
"7440-66-6","亜鉛粉","対象物","","","","","","","","","","第2類 金属粉・マグネシウム 第2種","","","要確認","","","","内蔵"
"7439-89-6","鉄粉","対象物","","","","","","","該当","","","第2類 鉄粉","","","","","","","内蔵"
"7704-34-9","硫黄","対象物","","","","","","","","","","第2類 硫黄・赤りん・硫化りん","","","","","","","内蔵"
"7723-14-0","赤りん","対象物","","","","","","","","","","第2類 硫黄・赤りん・硫化りん","","","","","","","内蔵"
"12185-10-3","黄りん","対象物","","","","","","","","第一種","毒物","第3類 黄りん","","","","","","","内蔵"
"7440-23-5","ナトリウム","対象物","","","","","","","","","","第3類 自然発火性物質・禁水性物質 第1種","","","","","","","内蔵"
"1305-78-8","酸化カルシウム","対象物","","","","","","","","","劇物","","","","","","","生石灰。水と反応して発熱","内蔵"
